Id,name,group,group_
0,Homer Simpson,"Simpson family",13
1,Maggie Simpson,"Simpson family",13
2,Marge Simpson,"Simpson family",13
3,Bart Simpson,"Simpson family",13
4,Lisa Simpson,"Simpson family",13
5,Lewis Clark,"School Friends",8
6,Moe Szyslak,"Homer's Friends",7
7,Barney Gumble,"Homer's Friends",7
8,Milhouse Van Houten,"School Friends",7
9,Charles Montgomery Burns,"Plant Workers",6
10,"Waylon Smithers, Jr.","Plant Workers",6
11,Selma Bouvier,"Bouvier family",5
12,Patty Bouvier,"Bouvier family",5
13,Seymour Skinner,"School Workers",5
14,Snowball II,"Others",4
15,Abraham Simpson,"Simpson family",4
16,"Martin Prince, Jr.","School Friends",4
17,Krusty the Clown,"TV Characters",4
18,Otto Mann,"School Workers",4
19,Lenny Leonard,"Homer's Friends",4
20,Ned Flanders,"Neighbors",3
21,Sherri Mackleberry,"School Friends",3
22,Terri Mackleberry,"School Friends",3
23,Ralph Wiggum,"School Friends",3
24,Edna Krabappel,"School Workers",3
25,Clancy Wiggum,"Law Enforcement",3
26,Marvin Monroe,"Others",3
27,Apu Nahasapeemapetilon,"Others",3
28,Santa's Little Helper,"Others",2
29,Eddie,"Law Enforcement",2
30,Itchy,"TV Characters",2
31,Lou,"Law Enforcement",2
32,Scratchy,"TV Characters",2
33,Bleeding Gums Murphy,"Others",2
34,Kent Brockman,"TV Characters",2
35,Space Mutants,"Others",2
36,Sideshow Bob,"TV Characters",2
37,Todd Flanders,"Neighbors",1
38,Snowball I,"Others",1
39,The Happy Little Elves,"TV Characters",1
40,Nelson Muntz,"School Friends",1
41,Herman Hermann,"Others",1
42,Ralph,"School Friends",1
43,Jacqueline Bouvier,"Bouvier family",1
44,Rod Flanders,"Neighbors",1
45,Kearney Zzyzwicz,"School Friends",1
46,Dolph Starbeam,"School Friends",1
47,Jimbo Jones,"School Friends",1
48,Helen Lovejoy,"Others",1
49,Carl Carlson,"Homer's Friends",1
50,Agnes Skinner,"Others",1